particle_id,final_energy_MeV,scattering_angle_deg,backscattered,dir_x,dir_y,dir_z,total_areal_density
5352,5.1268,3.28,0,0.998357,0.044979,-0.035492,1.32e+019
5353,5.1331,1.65,0,0.999585,0.015432,0.024339,1.32e+019
5354,5.1123,0.56,0,0.999953,0.005909,-0.007691,1.32e+019
5355,5.1485,2.40,0,0.999122,0.004856,-0.041624,1.32e+019
5356,5.1331,2.45,0,0.999084,0.002099,-0.042735,1.32e+019
5357,5.1197,4.44,0,0.997002,-0.020239,-0.074684,1.32e+019
5358,5.1582,3.93,0,0.997647,-0.021492,-0.065111,1.32e+019
5359,5.1177,1.37,0,0.999714,0.017983,-0.015767,1.32e+019
5360,5.1433,1.69,0,0.999564,-0.007848,0.028476,1.32e+019
5361,5.1215,3.25,0,0.998393,-0.054108,0.016855,1.32e+019
5362,5.0934,6.66,0,0.993254,-0.068040,0.093896,1.32e+019
5363,5.1343,3.97,0,0.997597,0.069185,-0.003788,1.32e+019
5364,5.1289,3.47,0,0.998168,0.008448,-0.059911,1.32e+019
5365,5.1455,2.62,0,0.998956,0.044557,-0.010066,1.32e+019
5366,5.1660,2.35,0,0.999159,0.040909,-0.002703,1.32e+019
5367,5.1137,1.72,0,0.999552,0.026173,-0.014548,1.32e+019
5368,5.1025,4.59,0,0.996787,-0.035767,-0.071667,1.32e+019
5369,5.1249,7.50,0,0.991437,-0.129982,-0.012532,1.32e+019
5370,5.1503,8.88,0,0.988008,0.099584,-0.117997,1.32e+019
5371,5.1738,0.72,0,0.999921,0.000991,-0.012539,1.32e+019
5372,5.1232,5.98,0,0.994560,0.001285,0.104156,1.32e+019
5373,5.1200,1.66,0,0.999583,-0.015428,-0.024424,1.32e+019
5374,5.1417,2.76,0,0.998843,0.041797,-0.023772,1.32e+019
5375,5.1423,1.53,0,0.999644,-0.015141,-0.021983,1.32e+019
5376,5.1373,4.42,0,0.997028,-0.071212,0.029401,1.32e+019
5377,5.1485,6.15,0,0.994240,-0.094693,-0.050201,1.32e+019
5378,5.1133,5.51,0,0.995384,-0.017722,-0.094324,1.32e+019
5379,5.1558,8.60,0,0.988746,0.054224,0.139434,1.32e+019
5380,5.1632,1.71,0,0.999553,0.012039,0.027372,1.32e+019
5381,5.1324,6.02,0,0.994494,0.088098,0.056756,1.32e+019
5382,5.1431,1.65,0,0.999585,-0.025198,-0.013955,1.32e+019
5383,5.1088,4.90,0,0.996352,-0.032836,0.078767,1.32e+019
5384,5.1443,4.36,0,0.997102,0.063711,-0.041570,1.32e+019
5385,5.1981,5.31,0,0.995703,0.091487,0.014317,1.32e+019
5386,5.1495,4.14,0,0.997391,0.067176,-0.026425,1.32e+019
5387,5.1473,2.29,0,0.999200,-0.039384,-0.007001,1.32e+019
5388,5.1382,3.18,0,0.998457,0.046882,-0.029765,1.32e+019
5389,5.1178,12.35,0,0.976842,-0.211704,-0.030996,1.32e+019
5390,5.1248,6.21,0,0.994131,0.105001,0.026061,1.32e+019
5391,5.1451,1.05,0,0.999832,-0.017486,-0.005511,1.32e+019
5392,5.1409,6.91,0,0.992729,-0.061115,0.103703,1.32e+019
5393,5.1366,3.16,0,0.998478,-0.054854,0.005729,1.32e+019
5394,5.1431,4.04,0,0.997517,-0.068404,0.016766,1.32e+019
5395,5.1021,5.27,0,0.995779,0.010946,-0.091131,1.32e+019
5396,5.1378,2.49,0,0.999059,-0.036454,0.023515,1.32e+019
5397,5.1413,7.56,0,0.991307,-0.127940,0.030691,1.32e+019
5398,5.1194,3.60,0,0.998023,0.053573,0.032873,1.32e+019
5399,5.1654,6.84,0,0.992876,-0.115488,0.029308,1.32e+019
5400,5.1569,4.65,0,0.996704,0.048082,0.065333,1.32e+019
5401,5.1435,2.19,0,0.999267,0.010540,-0.036789,1.32e+019
5402,5.0953,1.15,0,0.999800,-0.018914,0.006493,1.32e+019
5403,5.1437,3.42,0,0.998217,0.051214,0.030645,1.32e+019
5404,5.1369,5.82,0,0.994848,-0.003154,-0.101326,1.32e+019
5405,5.1479,5.11,0,0.996020,0.073815,-0.049961,1.32e+019
5406,5.1139,3.17,0,0.998466,0.028895,-0.047234,1.32e+019
5407,5.1424,7.49,0,0.991457,-0.073312,-0.107877,1.32e+019
5408,5.1435,4.50,0,0.996911,0.002789,-0.078495,1.32e+019
5409,5.1357,4.94,0,0.996286,0.086058,-0.003012,1.32e+019
5410,5.1480,4.94,0,0.996292,0.004427,0.085923,1.32e+019
5411,5.1627,1.32,0,0.999735,0.009014,0.021200,1.32e+019
5412,5.1227,1.68,0,0.999572,-0.009267,0.027740,1.32e+019
5413,5.1277,4.45,0,0.996989,-0.074770,-0.020562,1.32e+019
5414,5.1295,3.95,0,0.997629,-0.065235,-0.021906,1.32e+019
5415,5.1369,5.19,0,0.995894,-0.040193,-0.081121,1.32e+019
5416,5.1230,3.43,0,0.998204,-0.018201,0.057076,1.32e+019
5417,5.1186,2.31,0,0.999188,-0.008257,0.039430,1.32e+019
5418,5.1279,4.13,0,0.997409,-0.000432,0.071942,1.32e+019
5419,5.1568,0.36,0,0.999980,-0.005304,0.003393,1.32e+019
5420,5.1418,3.54,0,0.998097,-0.042518,-0.044669,1.32e+019
5421,5.1051,3.14,0,0.998502,0.054519,-0.004669,1.32e+019
5422,5.1133,2.37,0,0.999142,-0.027451,0.031000,1.32e+019
5423,5.1296,0.10,0,0.999998,0.000034,-0.001819,1.32e+019
5424,5.1547,3.46,0,0.998173,0.032691,0.050804,1.32e+019
5425,5.1779,2.82,0,0.998790,-0.014654,0.046942,1.32e+019
5426,5.1629,2.32,0,0.999183,-0.001209,0.040405,1.32e+019
5427,5.1361,3.30,0,0.998344,0.039969,0.041377,1.32e+019
5428,5.1403,4.88,0,0.996378,0.084092,0.012610,1.32e+019
5429,5.1350,3.19,0,0.998451,0.017094,0.052953,1.32e+019
5430,5.1533,3.66,0,0.997957,-0.061370,0.017780,1.32e+019
5431,5.1236,5.86,0,0.994772,-0.083474,0.058826,1.32e+019
5432,5.1330,1.98,0,0.999400,-0.019085,0.028895,1.32e+019
5433,5.1076,2.39,0,0.999128,0.034811,-0.023046,1.32e+019
5434,5.1659,1.26,0,0.999759,0.011426,-0.018726,1.32e+019
5435,5.1168,5.53,0,0.995350,-0.029835,-0.091589,1.32e+019
5436,5.1166,4.54,0,0.996868,-0.072051,-0.032615,1.32e+019
5437,5.1231,5.38,0,0.995602,-0.016142,0.092287,1.32e+019
5438,5.1296,4.58,0,0.996802,0.078817,0.013154,1.32e+019
5439,5.1048,6.53,0,0.993509,-0.032141,0.109118,1.32e+019
5440,5.1324,4.49,0,0.996933,-0.075847,0.019308,1.32e+019
5441,5.1014,2.72,0,0.998873,0.027823,-0.038458,1.32e+019
5442,5.1514,1.14,0,0.999803,0.014893,0.013119,1.32e+019
5443,5.1313,7.91,0,0.990491,-0.126335,0.054470,1.32e+019
5444,5.1413,6.61,0,0.993343,-0.008864,-0.114853,1.32e+019
5445,5.1117,6.01,0,0.994513,-0.102710,0.019875,1.32e+019
5446,5.1225,9.61,0,0.985955,0.151799,0.069641,1.32e+019
5447,5.1115,7.28,0,0.991929,-0.013249,-0.126102,1.32e+019
5448,5.1569,4.77,0,0.996533,-0.013470,-0.082099,1.32e+019
5449,5.1590,1.95,0,0.999420,-0.034054,-0.000792,1.32e+019
5450,5.1021,4.08,0,0.997467,0.035464,-0.061656,1.32e+019
5451,5.1820,3.30,0,0.998339,-0.049304,-0.029800,1.32e+019
5452,5.1491,6.82,0,0.992917,-0.065016,0.099445,1.32e+019
5453,5.1511,2.04,0,0.999365,-0.021281,0.028584,1.32e+019
